molecule,noise_spectral_norm,trial,lambda_min_S,dF_tilde_norm,dF_loose_norm,loose_over_sharp,delta0_Ha,sin_theta_obs,dk_bound_sharp,dk_bound_loose,dk_sharp_holds,dk_sharp_tightness,deps_obs_Ha,weyl_sharp,weyl_loose,weyl_sharp_holds,weyl_sharp_tightness,s_B
water,1e-05,13,0.03756519597141745,4.262928418048644e-05,0.000266203855494559,6.244624103174921,0.15150120111621895,2.0811348172595373e-05,0.00028145837944227166,0.0017602000880499364,True,13.524274213666722,8.389380725115636e-07,4.262928418048644e-05,0.000266203855494559,True,50.81338608565635,1.1817175144432429e-05
water,1e-05,14,0.03756519597141745,7.768690596051777e-05,0.000266203855494559,3.4266245025879876,0.15150120111621895,2.0981078373380236e-05,0.000513043871460056,0.0017602000880499364,True,24.452693151891605,8.672505335038938e-06,7.768690596051777e-05,0.000266203855494559,True,8.957838935727674,1.1780312757070492e-05
water,1e-05,15,0.03756519597141745,7.64802549323983e-05,0.000266203855494559,3.4806873451174996,0.15150120111621895,2.3148501887556796e-05,0.0005050711303767794,0.0017602000880499364,True,21.81873940828432,8.670328127541316e-06,7.64802549323983e-05,0.000266203855494559,True,8.820918171419441,1.3798845375774116e-05
water,1e-05,16,0.03756519597141745,3.500295119973383e-05,0.000266203855494559,7.605183173714315,0.15150120111621895,1.9824167938030404e-05,0.00023109414261259038,0.0017602000880499364,True,11.657192540689824,1.150515417296799e-05,3.500295119973383e-05,0.000266203855494559,True,3.04237132971023,1.2452878210389856e-05
water,1e-05,17,0.03756519597141745,7.142391561892109e-05,0.000266203855494559,3.7270969140767503,0.15150120111621895,3.1960958719683474e-05,0.0004716636116046407,0.0017602000880499364,True,14.757492594055448,4.616634993348523e-06,7.142391561892109e-05,0.000266203855494559,True,15.470990390582324,1.699766646249323e-05
water,1e-05,18,0.03756519597141745,8.849123897008626e-05,0.000266203855494559,3.00825097029715,0.15150120111621895,2.3808614457724014e-05,0.0005844373239328891,0.0017602000880499364,True,24.547305134897734,1.5614364489408006e-05,8.849123897008626e-05,0.000266203855494559,True,5.6672968682211975,1.4029777606311706e-05
water,1e-05,19,0.03756519597141745,4.0852900185946815e-05,0.000266203855494559,6.516155628679987,0.15150120111621895,1.5027198630266977e-05,0.0002697267018538538,0.0017602000880499364,True,17.949233818643002,2.1640379327392267e-06,4.0852900185946815e-05,0.000266203855494559,True,18.878088765401376,9.527617657595946e-06
water,0.0001,0,0.03756519597141745,0.0005033210504210582,0.00266203855494559,5.2889473879914926,0.15150120111621895,0.0001641785839717201,0.0033332987867229274,0.017885336823564132,True,20.302884250098607,5.604483289384926e-05,0.0005033210504210582,0.00266203855494559,True,8.980686076348281,0.00011716933611347893
water,0.0001,1,0.03756519597141745,0.0005590155848118289,0.00266203855494559,4.7620113414935705,0.15150120111621895,0.0002950447844757291,0.003703507954676543,0.017885336823564132,True,12.552358657203106,0.00010810431580893232,0.0005590155848118289,0.00266203855494559,True,5.171075554465877,0.00016297485763975143
water,0.0001,2,0.03756519597141745,0.0007430488694457724,0.00266203855494559,3.582588796523114,0.15150120111621895,0.00016449844310457767,0.004928747522916635,0.017885336823564132,True,29.962274596017,4.193523889578499e-05,0.0007430488694457724,0.00266203855494559,True,17.71896116515168,0.00010592053541869728
