id,ckpt,n_atoms,n_heavy,fminus_hat_rho,fminus_hat_top_match,fminus_hat_top_match_tol,fminus_hat_top_rank,fminus_hat_n_top_equiv,fplus_hat_rho,fplus_hat_top_match,fplus_hat_top_match_tol,fplus_hat_top_rank,fplus_hat_n_top_equiv,dual_hat_rho,dual_hat_top_match,dual_hat_top_match_tol,dual_hat_top_rank,dual_hat_n_top_equiv
82833,id,19,9,1.0,True,True,0,1,-0.06666666666666667,False,False,8,1,0.5666666666666667,False,False,6,1
82838,id,19,9,1.0,True,True,0,1,0.8333333333333333,True,True,0,1,0.8833333333333333,True,True,0,1
82839,id,18,9,1.0,True,True,0,1,0.9833333333333333,True,True,0,2,1.0,True,True,0,2
82849,id,19,9,0.9500000000000001,True,True,0,1,0.9333333333333332,True,True,0,1,0.9500000000000001,True,True,0,1
82867,id,18,9,1.0,True,True,0,1,0.9833333333333333,True,True,0,1,1.0,True,True,0,1
82887,id,17,9,0.9500000000000001,True,True,0,1,0.9833333333333333,True,True,0,1,0.9833333333333333,True,True,0,1
82941,id,18,9,1.0,True,True,0,1,0.9833333333333333,True,True,0,1,0.9833333333333333,True,True,0,2
82942,id,17,9,0.9500000000000001,True,True,0,1,0.9833333333333333,True,True,0,1,0.9833333333333333,True,True,0,1
82948,id,19,9,1.0,True,True,0,1,1.0,True,True,0,2,0.9833333333333333,True,True,0,1
82967,id,17,9,1.0,True,True,0,1,0.9833333333333333,True,True,0,2,1.0,True,True,0,1
82969,id,21,9,1.0,True,True,0,1,0.8166666666666667,True,True,0,1,0.9666666666666667,True,True,0,1
82970,id,19,9,0.9833333333333333,True,True,0,1,0.8333333333333333,True,True,0,1,0.9833333333333333,True,True,0,1
82971,id,18,9,0.9833333333333333,True,True,0,1,0.9833333333333333,True,True,0,1,0.8833333333333333,True,True,0,1
82985,id,17,9,1.0,True,True,0,1,0.7166666666666667,True,True,0,1,0.9833333333333333,True,True,0,2
82989,id,21,9,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,2
82990,id,21,9,0.9666666666666667,True,True,0,2,0.9833333333333333,True,True,0,2,0.9666666666666667,False,True,1,2
83008,id,19,9,1.0,True,True,0,1,0.8499999999999999,True,True,0,1,0.9333333333333332,True,True,0,1
83026,id,18,9,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
83036,id,19,9,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
83042,id,18,9,0.9666666666666667,True,True,0,1,0.8666666666666667,True,True,0,1,1.0,True,True,0,1
83045,id,16,9,1.0,True,True,0,2,0.8333333333333333,True,True,0,1,0.7333333333333334,False,True,2,4
83054,id,20,9,0.9833333333333333,True,True,0,2,0.9833333333333333,True,True,0,1,1.0,True,True,0,1
83062,id,20,9,1.0,True,True,0,1,0.8166666666666667,True,True,0,2,0.9833333333333333,True,True,0,2
83067,id,18,9,0.9500000000000001,True,True,0,1,0.9500000000000001,True,True,0,1,1.0,True,True,0,1
83083,id,18,9,1.0,True,True,0,2,0.9500000000000001,True,True,0,1,0.9833333333333333,True,True,0,1
83087,id,18,9,0.9833333333333333,True,True,0,1,0.9833333333333333,True,True,0,1,0.9833333333333333,True,True,0,1
83094,id,21,9,1.0,True,True,0,2,0.9833333333333333,True,True,0,1,1.0,True,True,0,1
83104,id,20,9,1.0,True,True,0,1,1.0,True,True,0,1,0.9833333333333333,True,True,0,1
83115,id,21,9,1.0,True,True,0,2,1.0,True,True,0,1,1.0,True,True,0,1
83116,id,19,9,0.9666666666666667,True,True,0,1,0.9500000000000001,True,True,0,1,1.0,True,True,0,1
83127,id,18,9,0.9666666666666667,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
83130,id,23,9,1.0,True,True,0,2,0.9166666666666666,True,True,0,2,1.0,True,True,0,1
83143,id,23,9,0.9833333333333333,False,True,1,2,0.9166666666666666,True,True,0,2,0.9166666666666666,True,True,0,7
83149,id,21,9,0.9833333333333333,True,True,0,1,0.9666666666666667,False,True,1,2,1.0,True,True,0,1
83151,id,19,9,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
83161,id,18,9,0.9833333333333333,True,True,0,1,0.9500000000000001,True,True,0,2,1.0,True,True,0,2
83165,id,17,9,1.0,True,True,0,1,0.9833333333333333,True,True,0,2,0.9333333333333332,True,True,0,2
83183,id,21,9,0.9833333333333333,True,True,0,1,1.0,True,True,0,1,0.9500000000000001,True,True,0,1
83192,id,20,9,1.0,True,True,0,1,0.9833333333333333,True,True,0,1,0.9833333333333333,True,True,0,1
83198,id,17,9,1.0,True,True,0,1,0.9166666666666666,True,True,0,1,0.9833333333333333,True,True,0,1
83202,id,18,9,1.0,True,True,0,1,1.0,True,True,0,1,0.9166666666666666,False,True,1,2
83204,id,18,9,1.0,True,True,0,1,0.9833333333333333,True,True,0,1,1.0,True,True,0,1
83219,id,17,9,0.9833333333333333,True,True,0,2,0.9833333333333333,True,True,0,1,0.9833333333333333,True,True,0,1
83236,id,16,9,0.9833333333333333,True,True,0,1,0.9833333333333333,True,True,0,1,0.9833333333333333,True,True,0,1
83251,id,23,9,1.0,True,True,0,1,0.9833333333333333,True,True,0,1,0.9833333333333333,True,True,0,1
83252,id,21,9,1.0,True,True,0,1,0.9833333333333333,True,True,0,1,1.0,True,True,0,1
83256,id,21,9,0.9833333333333333,True,True,0,1,1.0,True,True,0,1,0.9833333333333333,True,True,0,1
83272,id,19,9,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
83299,id,18,9,0.9833333333333333,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
83300,id,17,9,0.9833333333333333,True,True,0,1,0.9833333333333333,True,True,0,1,1.0,True,True,0,1
83301,id,16,9,0.9666666666666667,True,True,0,1,1.0,True,True,0,1,0.9833333333333333,True,True,0,1
83306,id,20,9,1.0,True,True,0,1,0.9833333333333333,True,True,0,1,0.9666666666666667,True,True,0,1
83311,id,23,9,1.0,True,True,0,1,0.9333333333333332,True,True,0,1,1.0,True,True,0,1
83333,id,17,9,1.0,True,True,0,1,0.9666666666666667,True,True,0,1,0.9833333333333333,True,True,0,1
83334,id,19,9,1.0,True,True,0,1,0.9166666666666666,True,True,0,1,0.9833333333333333,True,True,0,1
83353,id,15,9,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
83363,id,18,9,1.0,True,True,0,1,0.9833333333333333,True,True,0,1,0.9833333333333333,True,True,0,1
83369,id,16,9,0.9833333333333333,True,True,0,1,1.0,True,True,0,1,0.9833333333333333,True,True,0,1
83373,id,16,9,1.0,True,True,0,1,0.9333333333333332,True,True,0,1,0.9833333333333333,True,True,0,1
83378,id,18,9,0.6166666666666666,True,True,0,1,1.0,True,True,0,1,0.9833333333333333,True,True,0,1
83382,id,17,9,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
83398,id,18,9,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
83403,id,18,9,1.0,True,True,0,1,0.9833333333333333,True,True,0,1,1.0,True,True,0,1
83440,id,19,9,0.9833333333333333,True,True,0,1,0.9,True,True,0,1,1.0,True,True,0,1
83475,id,17,9,1.0,True,True,0,1,1.0,True,True,0,1,0.9833333333333333,True,True,0,1
