ckpt,features,target,alpha,cov_marg,w_marg,cov_norm,w_norm,cov_mond_flag,w_mond_flag,cov_mond_gap,w_mond_gap,cov_intr_marg,cov_intr_mond,selected,fdp,power
ood,spectral,sB_HOMO,0.05,0.9507333333333333,0.039935191582235116,0.9486666666666667,0.03700139603709027,0.9517833333333334,0.038524433883214,0.9506833333333333,0.04024635782448595,0.7775436616767839,0.9230302594511748,,,
ood,spectral,sB_LUMO,0.1,0.9020333333333334,0.20149147713492893,0.9011666666666667,0.1502942539622134,0.9033000000000001,0.195290108360056,0.9014833333333332,0.19207980677727915,0.0,0.21454108855020695,,,
ood,spectral,sB_LUMO,0.05,0.9515333333333332,0.33660786773167756,0.9509333333333334,0.20354729915899056,0.9520833333333334,0.30766368009033995,0.9523833333333334,0.3449692298664883,0.0,0.2243430708751568,,,
ood,spectral,FDR,0.002,,,,,,,,,,,0.0,0.0,0.0
ood,spectral,FDR,0.005,,,,,,,,,,,0.0,0.0,0.0
ood,spectral,FDR,0.01,,,,,,,,,,,0.24436666666666668,0.008850505658825999,0.2487995622770142
ood,spectral,FDR,0.02,,,,,,,,,,,0.9592333333333333,0.019932004260137977,0.9685089206426214
ood,spectral,FDR,0.05,,,,,,,,,,,1.0,0.029433333333333332,1.0
ood,fock,eps_HOMO,0.1,0.8993833333333333,0.978008738842425,0.8994833333333334,1.1313414719394221,0.8997666666666666,0.9539430377604501,0.8978499999999998,0.9377468681133749,0.7193222878824302,0.8200886188177755,,,
ood,fock,eps_HOMO,0.05,0.9490833333333333,1.1799908849409504,0.9502166666666667,1.5149390823575595,0.9494666666666667,1.14458385567868,0.9495166666666668,1.142368883226505,0.8177729365974651,0.8934673192441572,,,
ood,fock,eps_LUMO,0.1,0.8977833333333333,4.075841701647249,0.9069499999999999,3.5291101625617114,0.8989833333333334,3.810384553362335,0.8981999999999999,3.8890123812386004,0.15182373137431535,0.7123616980266789,,,
ood,fock,eps_LUMO,0.05,0.94765,5.10310963746339,0.9536833333333334,4.9335984968993944,0.9481833333333334,4.426250428823391,0.9491666666666667,5.1735835267618455,0.1602145434743471,0.8523201745925111,,,
ood,fock,gap,0.1,0.8975,3.900267242895174,0.9036333333333333,3.4317275728189047,0.8984666666666667,3.5732523672895495,0.8977666666666666,3.9813217413774504,0.12874752798134909,0.7102752827332802,,,
ood,fock,gap,0.05,0.9479666666666666,5.078931919276645,0.9512833333333333,4.633175228566686,0.9472833333333333,4.251383512513811,0.9488000000000001,5.039904165016476,0.1540892280902431,0.8525828695603112,,,
ood,fock,sB_HOMO,0.1,0.9009000000000003,0.028266368815259752,0.8991166666666667,0.02955904658484738,0.9040833333333336,0.025267836960175944,0.9024500000000002,0.027419230927346373,0.6224897939559365,0.8363220351475729,,,
ood,fock,sB_HOMO,0.05,0.9507333333333333,0.039935191582235116,0.9486833333333333,0.03516210016985506,0.9534166666666666,0.03384381547943159,0.9506833333333333,0.04024635782448595,0.7775436616767839,0.8684300262081518,,,
